Denounce;Got attacked;Females;Stress;run
23;64;1216;0.03118358965716706;21
30;89;1216;0.031133614757260984;21
43;113;1216;0.03108880696036132;21
45;132;1216;0.031012872944085345;21
48;165;1216;0.030869511056009637;21
64;200;1216;0.0307858055329334;21
56;223;1216;0.030710162431864148;21
73;241;1216;0.030637054376867864;21
0;0;1196;0.0;22
1;23;1196;0.0;22
18;40;1196;0.029968416784741155;22
23;63;1196;0.029995099460002284;22
21;80;1196;0.029920814188524356;22
41;105;1196;0.029904254250117387;22
47;128;1196;0.029844367169108484;22
50;144;1196;0.029761309536016453;22
63;167;1196;0.029674623580722995;22
75;187;1196;0.029597669794439407;22
80;209;1196;0.029549308025044182;22
0;0;1200;0.0;23
4;15;1200;0.0;23
8;34;1200;0.03113571651714;23
20;63;1200;0.031067362977548366;23
34;84;1200;0.031057841193971262;23
43;110;1200;0.031002501753230684;23
47;136;1200;0.030923530466171505;23
69;159;1200;0.030855217589314945;23
70;177;1200;0.030697549223023108;23
70;204;1200;0.030635520414723418;23
83;230;1200;0.030488136607787188;23
0;0;1165;0.0;24
10;28;1165;0.0;24
18;54;1165;0.030889931499153925;24
28;76;1165;0.030862180495785724;24
34;99;1165;0.03080941539254257;24
44;129;1165;0.030739204737937433;24
56;149;1165;0.03069343010215373;24
61;171;1165;0.03063961414352975;24
74;197;1165;0.0305003993648111;24
66;215;1165;0.030417336393155296;24
80;236;1165;0.030324591160943347;24
0;0;1226;0.0;25
3;14;1226;0.0;25
14;35;1226;0.030551435058152762;25
28;60;1226;0.03053512379269228;25
29;73;1226;0.03050263809332216;25
35;95;1226;0.03040816650745117;25
51;124;1226;0.030328711171762425;25
52;143;1226;0.03026806677291733;25
53;159;1226;0.030133231680522145;25
67;175;1226;0.030089616595407456;25
65;195;1226;0.030004801812489424;25
0;0;1225;0.0;26
2;14;1225;0.0;26
12;40;1225;0.031101916868301285;26
19;62;1225;0.03107361654763521;26
29;76;1225;0.031052200471244257;26
33;96;1225;0.03101944934210298;26
46;112;1225;0.030928806056823688;26
46;138;1225;0.0308643279137896;26
62;154;1225;0.030827337056394722;26
61;174;1225;0.030744892455643092;26
60;192;1225;0.030623779185297028;26
0;0;1196;0.0;27
7;18;1196;0.0;27
7;34;1196;0.03128669798333401;27
24;61;1196;0.031191952094010083;27
35;83;1196;0.031126305268188086;27
46;106;1196;0.031051344301829494;27
47;126;1196;0.03097788899853985;27
58;147;1196;0.030910377291040684;27
63;174;1196;0.03080059958760154;27
58;194;1196;0.030703494636837133;27
75;215;1196;0.03068266956855742;27
0;0;1242;0.0;28
4;19;1242;0.0;28
9;39;1242;0.02961698858170335;28
17;63;1242;0.02962606367712162;28
34;79;1242;0.029558202010410404;28
38;95;1242;0.029468863097063265;28
40;115;1242;0.02939081123480587;28
53;136;1242;0.029266618059597637;28
59;164;1242;0.029245302243144713;28
72;193;1242;0.029170651938992768;28
81;213;1242;0.02905649958484617;28
0;0;1207;0.0;29
1;17;1207;0.0;29
14;34;1207;0.031231085805445803;29
28;48;1207;0.031279326503859235;29
23;65;1207;0.031178282501807805;29
36;85;1207;0.031105810422694283;29
34;104;1207;0.031026562377615228;29
40;125;1207;0.0310222530831975;29
52;150;1207;0.030972678556324674;29
71;166;1207;0.03085506198206252;29
82;190;1207;0.030798448084865468;29
0;0;1258;0.0;30
6;22;1258;0.0;30
12;48;1258;0.03092629042318628;30
25;67;1258;0.030887811833581993;30
36;83;1258;0.030842725119498347;30
49;103;1258;0.03077889789976754;30
41;120;1258;0.030668411450835785;30
46;141;1258;0.030572832778009516;30
57;162;1258;0.03052975269161168;30
68;186;1258;0.030438048730922283;30
73;209;1258;0.0303735988371031;30
0;0;1198;0.0;31
6;20;1198;0.0;31
14;42;1198;0.029993798021436736;31
23;62;1198;0.02990888366519987;31
29;75;1198;0.029852198172596624;31
43;99;1198;0.029846364255992467;31
51;119;1198;0.02976999889361182;31
53;135;1198;0.02966456164574857;31
68;161;1198;0.02956263240929104;31
77;183;1198;0.029509749725633954;31
73;198;1198;0.02941231940719605;31
0;0;1225;0.0;32
5;19;1225;0.0;32
18;43;1225;0.03049374943039484;32
19;58;1225;0.030478005434573283;32
31;77;1225;0.030434122710300007;32
47;104;1225;0.030327830075041317;32
51;118;1225;0.03029735036834984;32
47;130;1225;0.030216577771073706;32
53;150;1225;0.03010734780235883;32
56;170;1225;0.030049994435077724;32
63;187;1225;0.029983035995374156;32
0;0;1242;0.0;33
3;18;1242;0.0;33
12;42;1242;0.03091187415883454;33
17;71;1242;0.030882175738744293;33
35;90;1242;0.030834481753937416;33
41;108;1242;0.0308007144699833;33
47;131;1242;0.030651846010039476;33
56;152;1242;0.030589749147395807;33
63;177;1242;0.030519839270496976;33
75;196;1242;0.030434427169515117;33
72;213;1242;0.03034226632754296;33
0;0;1209;0.0;34
8;23;1209;0.0;34
9;46;1209;0.03039037266807211;34
22;71;1209;0.03038767088161081;34
33;94;1209;0.030336256262766842;34
39;119;1209;0.030283594626124396;34
