gender_stress;Run;Aggressor;Person;Stress;aggressor_pct
0.1;66;120;3856;0.016196113263762413;0.03112033195020747
0.1;67;124;3853;0.016128957083737336;0.03218271476771347
0.1;68;120;3909;0.015714044838628247;0.03069838833461243
0.1;69;128;3842;0.01623213940206975;0.03331598125976054
0.1;70;100;3909;0.016216319176504273;0.025581990278843694
0.1;71;103;3918;0.016181157249087526;0.02628892291985707
0.1;72;139;3807;0.016247775353222704;0.0365116889939585
0.1;73;122;3912;0.016179777719662076;0.031186094069529654
0.1;74;132;3865;0.01605603015468318;0.034152652005174644
0.1;75;101;3919;0.016074961140664253;0.025771880581781068
0.1;76;125;3841;0.016004127601552006;0.03254360843530331
0.1;77;128;3913;0.016244898632908917;0.03271147457193969
0.1;78;112;3913;0.016088422227332113;0.028622540250447227
0.1;79;118;3882;0.015949027664344563;0.030396702730551263
0.1;80;121;3870;0.015985999237395472;0.031266149870801035
0.1;81;112;3880;0.016183671352405078;0.0288659793814433
0.1;82;148;3844;0.016111013581185895;0.03850156087408949
0.1;83;119;3890;0.01611483184258912;0.030591259640102827
0.1;84;120;3830;0.016145847002742308;0.031331592689295036
0.1;85;106;3925;0.015994869855693206;0.02700636942675159
0.1;86;114;3891;0.01629393018783326;0.029298380878951428
0.1;87;121;3897;0.01605229242996418;0.03104952527585322
0.1;88;123;3912;0.016040505234109718;0.03144171779141104
0.1;89;101;3880;0.016401421716818358;0.026030927835051548
0.1;90;109;3892;0.016358069473334916;0.02800616649537513
0.1;91;126;3893;0.016088089046308995;0.03236578474184434
0.1;92;120;3866;0.015886084206684633;0.031039834454216243
0.1;93;123;3907;0.016070656982896243;0.031481955464550807
0.1;94;120;3869;0.01615027265888663;0.031015766347893513
0.1;95;123;3857;0.016185474699750103;0.03189007000259269
0.1;96;116;3884;0.016269901186505908;0.029866117404737384
0.1;97;115;3862;0.015932236374547947;0.02977731745209736
0.1;98;117;3860;0.0163338569592519;0.030310880829015546
0.1;99;114;3887;0.016264998253401476;0.029328531000771804
0.1;100;134;3862;0.016169629448386187;0.03469704816157431
0.1;101;140;3873;0.016211773754940567;0.036147689129873484
0.1;102;108;3941;0.01601217025317322;0.027404212128901293
0.1;103;123;3899;0.016297160232483;0.03154655039753783
0.1;104;121;3874;0.016380879486400306;0.031233866804336603
0.1;105;103;3926;0.01627706044040259;0.026235354049923585
0.1;106;128;3871;0.016084153299703134;0.03306639111340739
0.1;107;120;3864;0.016219011985848436;0.031055900621118012
0.1;108;110;3871;0.016040252060684504;0.028416429863084475
0.1;109;127;3865;0.01637710036222083;0.03285899094437258
0.1;110;112;3910;0.01618377113919033;0.02864450127877238
0.1;111;115;3893;0.01612824565249762;0.02954020035961983
0.1;112;117;3912;0.01607505900683553;0.0299079754601227
0.1;113;127;3897;0.016001088875059563;0.032589171157300485
0.1;114;115;3916;0.01588746095493433;0.02936670071501532
0.1;115;110;3878;0.016174419776430738;0.028365136668385766
0.1;116;123;3862;0.01599073705162332;0.03184878301398239
0.1;117;139;3885;0.015912349743644028;0.03577863577863578
0.1;118;119;3928;0.016223158055461793;0.030295315682281058
0.1;119;118;3923;0.01629889807778981;0.030079021157277595
0.2142857142857143;120;140;3847;0.01614786178098077;0.0363919937613725
0.2142857142857143;121;130;3858;0.016261602853411942;0.033696215655780196
0.2142857142857143;122;106;3903;0.016151365653259225;0.027158595951831923
0.2142857142857143;123;107;3898;0.0159720400415123;0.02744997434581837
0.2142857142857143;124;116;3876;0.016198023955129898;0.029927760577915376
0.2142857142857143;125;145;3855;0.01612482283561746;0.03761348897535668
0.2142857142857143;126;112;3897;0.01622522635405286;0.02874005645368232
0.2142857142857143;127;125;3894;0.016395914383983592;0.03210066769388803
0.2142857142857143;128;106;3925;0.01621616547302256;0.02700636942675159
0.2142857142857143;129;125;3903;0.01615290581828715;0.03202664616961312
0.2142857142857143;130;119;3877;0.016193149472914777;0.03069383543977302
0.2142857142857143;131;119;3858;0.016132039874732763;0.03084499740798341
0.2142857142857143;132;129;3879;0.01662524417385783;0.033255993812838364
0.2142857142857143;133;130;3870;0.016238168064283784;0.03359173126614987
0.2142857142857143;134;97;3863;0.01621446041197782;0.025110018120631634
0.2142857142857143;135;128;3900;0.016337655748812734;0.03282051282051282
0.2142857142857143;136;117;3893;0.0160446199830318;0.03005394297456974
0.2142857142857143;137;118;3894;0.01616570533005481;0.030303030303030304
0.2142857142857143;138;94;3968;0.01612741494327285;0.023689516129032258
0.2142857142857143;139;122;3854;0.016380842170760867;0.0316554229372081
0.2142857142857143;140;116;3866;0.016075390364971125;0.03000517330574237
0.2142857142857143;141;135;3824;0.0160376965903042;0.035303347280334726
0.2142857142857143;142;127;3859;0.016127520149260326;0.03291008033169215
0.2142857142857143;143;112;3929;0.015924501405290174;0.028505981165691016
0.2142857142857143;144;129;3842;0.016061589717243488;0.03357626236335242
0.2142857142857143;145;127;3904;0.016302198137014914;0.03253073770491803
0.2142857142857143;146;109;3930;0.015961787330756295;0.027735368956743004
