chance_changing_working_status;Run;Aggressor;Person;Stress;aggressor_pct
0.01;95;168;3752;0.02414935146535979;0.04477611940298507
0.01;96;175;3783;0.024228659090513516;0.04625958234205657
0.01;97;177;3775;0.024131214074628163;0.046887417218543045
0.01;98;163;3843;0.02424367793227992;0.04241478011969815
0.01;99;165;3789;0.024247157138816894;0.043547110055423596
0.01;100;173;3765;0.024199131970320666;0.04594953519256308
0.01;101;172;3770;0.024085288100972924;0.04562334217506631
0.01;102;188;3780;0.024096572105318084;0.04973544973544974
0.01;103;166;3837;0.024232009287073905;0.04326296585874381
0.01;104;185;3770;0.024012979050737994;0.04907161803713528
0.01;105;178;3806;0.024458203723368245;0.04676826064109301
0.01;106;162;3817;0.023981726369107625;0.04244170814776002
0.01;107;179;3764;0.024297723676432025;0.0475557917109458
0.01;108;167;3781;0.023971512821965177;0.04416820946839461
0.01;109;168;3783;0.024171544045578502;0.04440919904837431
0.01;110;171;3751;0.024099743934145833;0.045587843241802185
0.01;111;163;3771;0.02411592533089092;0.04322460885706709
0.01;112;163;3815;0.024029885660687873;0.04272608125819135
0.01;113;172;3766;0.024185326181564562;0.04567180031864047
0.01;114;166;3790;0.024020722773672745;0.043799472295514515
0.01;115;185;3778;0.024148188571372728;0.04896770778189518
0.01;116;152;3825;0.024252965582714323;0.03973856209150327
0.01;117;173;3818;0.02411956915173861;0.045311681508643266
0.01;118;175;3761;0.024361937857095138;0.04653017814411061
0.01;119;167;3791;0.024135966669966463;0.04405170139804801
0.01;120;175;3732;0.02397668072548085;0.04689174705251876
0.01;121;151;3829;0.024287089354755997;0.03943588404283103
0.01;122;167;3773;0.024194116777652746;0.044261860588391204
0.01;123;166;3782;0.024180120512345495;0.04389212057112639
0.01;124;151;3801;0.023839859181385644;0.039726387792686134
0.01;125;169;3831;0.024139870291031394;0.04411380840511616
0.01;126;179;3734;0.02430943831650613;0.04793786823781468
0.01;127;180;3773;0.0242278534975022;0.04770739464617016
0.01;128;197;3713;0.02425145658122977;0.05305682736331807
0.01;129;178;3798;0.024124503433160974;0.0468667719852554
0.01;130;163;3778;0.024310432754368394;0.043144520910534674
0.01;131;165;3827;0.024096071411348095;0.04311471126208519
0.01;132;187;3731;0.02400481188257483;0.05012061109622085
0.01;133;160;3827;0.02392263832979253;0.04180820486020381
0.01;134;148;3781;0.024065941129295262;0.0391430838402539
0.01;135;156;3768;0.02410321609268225;0.041401273885350316
0.01;136;177;3741;0.024360357823069726;0.04731355252606255
0.01;137;166;3768;0.024169758555731637;0.0440552016985138
0.01;138;184;3732;0.0241746713427743;0.04930332261521972
0.01;139;172;3823;0.02416162339403255;0.04499084488621501
0.01;140;153;3822;0.023964539334118365;0.040031397174254316
0.01;141;163;3801;0.024310815298415417;0.04288345172323073
0.01;142;154;3834;0.024087119696214042;0.040166927490871154
0.01;143;165;3769;0.024027841071603058;0.04377819050145927
0.01;144;174;3756;0.02387400141378451;0.0463258785942492
0.01;145;170;3777;0.024173320882230717;0.045009266613714585
0.01;146;168;3810;0.02415195054462539;0.04409448818897638
0.01;147;179;3740;0.023918780116285426;0.04786096256684492
0.01;148;193;3763;0.024133863911297498;0.051288865267074144
0.01;149;160;3825;0.024386527828833306;0.04183006535947712
0.01;150;186;3703;0.02397504422651344;0.05022954361328653
0.01;151;177;3769;0.024238327354026652;0.0469620589015654
0.01;152;169;3760;0.024294367519969603;0.0449468085106383
0.01;153;177;3751;0.023996356426471167;0.04718741668888297
0.01;154;161;3814;0.02417070306722709;0.042212899842684844
0.01;155;161;3810;0.023936907621808078;0.04225721784776903
0.01;156;183;3771;0.0241377745399742;0.04852824184566428
0.01;157;174;3773;0.024077403075172216;0.046117148157964485
0.01;158;181;3758;0.02411147444144667;0.04816391697711549
0.01;159;172;3816;0.024122440660467898;0.04507337526205451
0.01;160;154;3824;0.024167756662316554;0.040271966527196654
0.01;161;164;3808;0.024016429477747948;0.0430672268907563
0.01;162;183;3708;0.024202259432318622;0.049352750809061485
0.01;163;167;3799;0.023905270355141468;0.04395893656225323
0.01;164;184;3764;0.024156698456749618;0.048884165781083955
0.01;165;184;3721;0.024335955020153288;0.04944907282988444
0.01;166;167;3782;0.02402396899629592;0.04415653093601269
0.01;167;159;3799;0.02413904137516381;0.04185311924190577
0.01;168;166;3781;0.024401932301476987;0.04390372917217667
0.01;169;179;3763;0.024003304458257015;0.04756842944459208
0.01;170;169;3786;0.02433165162891518;0.04463814051769678
0.01;171;177;3768;0.02421748579304716;0.046974522292993634
0.01;172;167;3810;0.024259548182622326;0.04383202099737533
0.01;173;177;3757;0.0239647512612691;0.04711205749268033
0.01;174;190;3812;0.024147754719804407;0.049842602308499476
0.01;175;179;3761;0.0241531708662888;0.047593725073118855
0.01;176;159;3778;0.02440025057418693;0.042085759661196404
0.01;177;170;3786;0.024313743968475587;0.04490227152667723
0.01;178;172;3780;0.02423127931455754;0.0455026455026455
0.01;179;173;3737;0.024221143874138134;0.046293818571046294
0.01;180;177;3802;0.02408871583407138;0.04655444502893214
0.01;181;178;3843;0.024085758387139285;0.04631798074421025
0.01;182;168;3798;0.024155075653458067;0.044233807266982623
