metro;Run;Aggressor;Person;Stress;aggressor_pct
MACEIO;231;60;1509;0.015278061676239326;0.039761431411530816
MACEIO;232;31;1597;0.014874583167632602;0.019411396368190358
MACEIO;233;30;1524;0.015301927779925834;0.01968503937007874
MACEIO;234;49;1572;0.015492147467411461;0.031170483460559797
MACEIO;235;48;1536;0.015525212419813219;0.03125
MACEIO;236;39;1560;0.0155549037595214;0.025
MACEIO;237;58;1483;0.015619261696124901;0.03910991233985165
MACEIO;238;48;1545;0.015606473701524848;0.031067961165048542
MACEIO;239;47;1558;0.01549986178903483;0.030166880616174584
ARACAJU;240;48;1688;0.01503065220992089;0.02843601895734597
ARACAJU;241;42;1665;0.015364878598915246;0.025225225225225224
ARACAJU;242;62;1617;0.015376664722866173;0.0383426097711812
ARACAJU;243;43;1671;0.01530269846225488;0.02573309395571514
ARACAJU;244;54;1680;0.01513203643589823;0.03214285714285714
ARACAJU;245;51;1667;0.015152479715015703;0.03059388122375525
ARACAJU;246;50;1687;0.01543470386159313;0.02963841138114997
ARACAJU;247;44;1702;0.015283331895467527;0.025851938895417155
ARACAJU;248;35;1715;0.015018098066805948;0.02040816326530612
ARACAJU;249;40;1666;0.015388651988788075;0.024009603841536616
ARACAJU;250;37;1703;0.014984324019209483;0.02172636523781562
ARACAJU;251;44;1684;0.015177107756015287;0.026128266033254157
ARACAJU;252;40;1651;0.015363038880470078;0.024227740763173834
ARACAJU;253;39;1691;0.015011396649852866;0.023063276167947958
ARACAJU;254;43;1677;0.01548166719427636;0.02564102564102564
ARACAJU;255;35;1710;0.015242236462263602;0.02046783625730994
ARACAJU;256;44;1674;0.014772344540724283;0.026284348864994027
ARACAJU;257;42;1699;0.015338701598173179;0.024720423778693348
ARACAJU;258;49;1663;0.014764710941094938;0.029464822609741433
ARACAJU;259;41;1677;0.015193945970539047;0.024448419797257006
SALVADOR;260;51;2088;0.014681331502564263;0.02442528735632184
SALVADOR;261;55;2110;0.01462356477205977;0.026066350710900472
SALVADOR;262;51;2117;0.014441697248730801;0.024090694378837978
SALVADOR;263;56;2120;0.014707432277827653;0.026415094339622643
SALVADOR;264;49;2118;0.014815685167840459;0.023135033050047216
SALVADOR;265;43;2127;0.014950788394335056;0.020216267042783263
SALVADOR;266;69;2073;0.014675679824142985;0.03328509406657019
SALVADOR;267;54;2108;0.014519244622543614;0.025616698292220113
SALVADOR;268;46;2134;0.014428116991870571;0.02155576382380506
SALVADOR;269;66;2128;0.014913988237263906;0.03101503759398496
SALVADOR;270;57;2119;0.014805598098291541;0.026899480887210947
SALVADOR;271;40;2126;0.0145656562202954;0.01881467544684854
SALVADOR;272;57;2105;0.014842381718145824;0.027078384798099764
SALVADOR;273;51;2118;0.014698117658981146;0.024079320113314446
SALVADOR;274;57;2114;0.014496580171587777;0.02696310312204352
SALVADOR;275;53;2114;0.01484097963748317;0.025070955534531692
SALVADOR;276;41;2125;0.014834566474605473;0.019294117647058823
SALVADOR;277;44;2125;0.014679171658657343;0.020705882352941178
SALVADOR;278;64;2126;0.014715993938647266;0.030103480714957668
SALVADOR;279;70;2069;0.014615995221397943;0.033832769453842435
FEIRA DE SANTANA;280;47;1386;0.015613935174354483;0.03391053391053391
FEIRA DE SANTANA;281;47;1342;0.015594681951152333;0.03502235469448584
FEIRA DE SANTANA;282;44;1366;0.015304357130016656;0.032210834553440704
FEIRA DE SANTANA;283;48;1381;0.015419074364112847;0.03475742215785663
FEIRA DE SANTANA;284;38;1417;0.015501399045905681;0.026817219477769938
FEIRA DE SANTANA;285;39;1427;0.01542902206687203;0.027330063069376315
FEIRA DE SANTANA;286;50;1363;0.015212969683359822;0.036683785766691124
FEIRA DE SANTANA;287;36;1394;0.015491908775551986;0.02582496413199426
FEIRA DE SANTANA;288;50;1348;0.015598243658128556;0.037091988130563795
FEIRA DE SANTANA;289;37;1400;0.015511644574068511;0.02642857142857143
FEIRA DE SANTANA;290;37;1414;0.01563810152178457;0.02616690240452617
FEIRA DE SANTANA;291;49;1374;0.015340893872510962;0.03566229985443959
FEIRA DE SANTANA;292;34;1386;0.015503039411369674;0.024531024531024532
FEIRA DE SANTANA;293;34;1406;0.015289851218776905;0.02418207681365576
FEIRA DE SANTANA;294;46;1394;0.015586365829572338;0.03299856527977044
FEIRA DE SANTANA;295;43;1385;0.01569456888240703;0.03104693140794224
FEIRA DE SANTANA;296;48;1383;0.015322901297373034;0.03470715835140998
FEIRA DE SANTANA;297;41;1410;0.01568919255433067;0.029078014184397163
FEIRA DE SANTANA;298;38;1377;0.015538993029465483;0.027596223674655047
FEIRA DE SANTANA;299;52;1397;0.015381657912825294;0.03722261989978525
ILHEUS - ITABUNA;300;31;1478;0.016177335956818105;0.02097428958051421
ILHEUS - ITABUNA;301;54;1453;0.016007110709223855;0.03716448726772195
ILHEUS - ITABUNA;302;43;1434;0.015896161230246002;0.0299860529986053
ILHEUS - ITABUNA;303;43;1440;0.015771768030460844;0.029861111111111113
ILHEUS - ITABUNA;304;41;1468;0.015668731744819156;0.027929155313351498
ILHEUS - ITABUNA;305;33;1463;0.015841127317932933;0.022556390977443608
ILHEUS - ITABUNA;306;49;1471;0.01582624732622893;0.03331067301155676
ILHEUS - ITABUNA;307;64;1417;0.01612390169460527;0.04516584333098095
ILHEUS - ITABUNA;308;39;1467;0.015671986065820525;0.026584867075664622
ILHEUS - ITABUNA;309;43;1476;0.015676991828847617;0.029132791327913278
ILHEUS - ITABUNA;310;54;1439;0.016054670399479838;0.037526059763724806
ILHEUS - ITABUNA;311;41;1495;0.015923395818970103;0.0274247491638796
ILHEUS - ITABUNA;312;43;1459;0.015557844723190186;0.029472241261137764
ILHEUS - ITABUNA;313;35;1496;0.015629787574698913;0.02339572192513369
ILHEUS - ITABUNA;314;39;1452;0.015819205537006692;0.026859504132231406
ILHEUS - ITABUNA;315;52;1463;0.015784366619533585;0.0355434039644566
ILHEUS - ITABUNA;316;45;1447;0.0160779749182673;0.031098825155494125
ILHEUS - ITABUNA;317;45;1431;0.015683313391265687;0.031446540880503145
ILHEUS - ITABUNA;318;44;1448;0.015823663810378884;0.03038674033149171
ILHEUS - ITABUNA;319;52;1443;0.015859060848861347;0.036036036036036036
PETROLINA - JUAZEIRO;320;33;779;0.015857821379155597;0.04236200256739409
PETROLINA - JUAZEIRO;321;27;785;0.015810208644511468;0.034394904458598725
PETROLINA - JUAZEIRO;322;27;777;0.015636933482183993;0.03474903474903475
PETROLINA - JUAZEIRO;323;28;789;0.015593314864355714;0.035487959442332066
PETROLINA - JUAZEIRO;324;31;769;0.015971770317778827;0.04031209362808843
PETROLINA - JUAZEIRO;325;30;792;0.015756386811061757;0.03787878787878788
PETROLINA - JUAZEIRO;326;25;796;0.015707102605850908;0.031407035175879394
PETROLINA - JUAZEIRO;327;27;813;0.01600846028937557;0.033210332103321034
PETROLINA - JUAZEIRO;328;26;775;0.01599514564481068;0.03354838709677419
PETROLINA - JUAZEIRO;329;33;786;0.016006977391266986;0.04198473282442748
PETROLINA - JUAZEIRO;330;26;808;0.01569721544655943;0.03217821782178218
PETROLINA - JUAZEIRO;331;21;803;0.015697803451379482;0.026151930261519303
PETROLINA - JUAZEIRO;332;30;787;0.015471428852207599;0.03811944091486658
PETROLINA - JUAZEIRO;333;15;834;0.01618681360992571;0.017985611510791366
PETROLINA - JUAZEIRO;334;27;784;0.01583031451542915;0.03443877551020408
PETROLINA - JUAZEIRO;335;30;763;0.015659791871272;0.039318479685452164
PETROLINA - JUAZEIRO;336;25;789;0.015949073903973644;0.031685678073510776
PETROLINA - JUAZEIRO;337;24;781;0.01577431193365166;0.030729833546734954
PETROLINA - JUAZEIRO;338;21;810;0.01561901347268388;0.025925925925925925
PETROLINA - JUAZEIRO;339;19;812;0.01600538404933904;0.023399014778325122
BELO HORIZONTE;340;55;2193;0.014910989261159762;0.025079799361605107
BELO HORIZONTE;341;58;2185;0.014673877077039965;0.02654462242562929
BELO HORIZONTE;342;59;2190;0.01451382897412547;0.026940639269406392
BELO HORIZONTE;343;49;2204;0.014480159348153498;0.02223230490018149
