is_working_pct;under_influence;has_gun;gender_stress;chance_changing_working_status;pct_change_wage;Run;Aggressor;Person;Stress;aggressor_pct
0.3666666666666667;0.33666666666666667;0.9;0.9;0.33666666666666667;0.01;1784;66;2119;0.01984412460131157;0.03114676734308636
0.3666666666666667;0.33666666666666667;0.9;0.9;0.33666666666666667;0.17333333333333334;1785;66;2121;0.02008843668777844;0.031117397454031116
0.3666666666666667;0.33666666666666667;0.9;0.9;0.33666666666666667;0.33666666666666667;1786;76;2111;0.020002286944440787;0.03600189483657035
0.3666666666666667;0.33666666666666667;0.9;0.9;0.33666666666666667;0.5;1787;56;2161;0.02003633062776981;0.025913928736695974
0.3666666666666667;0.33666666666666667;0.9;0.9;0.5;0.01;1788;69;2120;0.019745496298452517;0.032547169811320754
0.3666666666666667;0.33666666666666667;0.9;0.9;0.5;0.17333333333333334;1789;81;2080;0.020043634028835983;0.03894230769230769
0.3666666666666667;0.33666666666666667;0.9;0.9;0.5;0.33666666666666667;1790;77;2110;0.020401084612260503;0.036492890995260666
0.3666666666666667;0.33666666666666667;0.9;0.9;0.5;0.5;1791;62;2132;0.01991917878092235;0.029080675422138838
0.3666666666666667;0.5;0.1;0.1;0.01;0.01;1792;38;2198;0.013409290153652187;0.017288444040036398
0.3666666666666667;0.5;0.1;0.1;0.01;0.17333333333333334;1793;48;2173;0.013367540395232753;0.02208927749654855
0.3666666666666667;0.5;0.1;0.1;0.01;0.33666666666666667;1794;44;2182;0.013285549843471951;0.02016498625114574
0.3666666666666667;0.5;0.1;0.1;0.01;0.5;1795;43;2194;0.013426209583981361;0.01959890610756609
0.3666666666666667;0.5;0.1;0.1;0.17333333333333334;0.01;1796;38;2192;0.012696919086146;0.017335766423357664
0.3666666666666667;0.5;0.1;0.1;0.17333333333333334;0.17333333333333334;1797;54;2169;0.012915435685254868;0.024896265560165973
0.3666666666666667;0.5;0.1;0.1;0.17333333333333334;0.33666666666666667;1798;43;2188;0.013017001941413744;0.019652650822669104
0.3666666666666667;0.5;0.1;0.1;0.17333333333333334;0.5;1799;43;2179;0.012798458502035474;0.01973382285452042
0.3666666666666667;0.5;0.1;0.1;0.33666666666666667;0.01;1800;45;2160;0.01284514869542117;0.020833333333333332
0.3666666666666667;0.5;0.1;0.1;0.33666666666666667;0.17333333333333334;1801;39;2199;0.012961538654363053;0.017735334242837655
0.3666666666666667;0.5;0.1;0.1;0.33666666666666667;0.33666666666666667;1802;42;2182;0.01255712259401412;0.01924839596700275
0.3666666666666667;0.5;0.1;0.1;0.33666666666666667;0.5;1803;34;2187;0.01258054580711665;0.015546410608139003
0.3666666666666667;0.5;0.1;0.1;0.5;0.01;1804;42;2186;0.013026666693545201;0.0192131747483989
0.3666666666666667;0.5;0.1;0.1;0.5;0.17333333333333334;1805;34;2193;0.012851371401519929;0.015503875968992248
0.3666666666666667;0.5;0.1;0.1;0.5;0.33666666666666667;1806;37;2196;0.013100964819180308;0.016848816029143898
