Denounce;Got attacked;Females;Stress;run
18;103;1174;0.033046690599425686;11
29;130;1174;0.03295351500982611;11
34;145;1174;0.032885811413828736;11
35;164;1174;0.03278676726138442;11
45;184;1174;0.03273471830835632;11
43;211;1174;0.032676108133895244;11
53;233;1174;0.03258534590922225;11
0;0;1200;0.0;12
4;27;1200;0.0;12
7;47;1200;0.03410769779212338;12
22;66;1200;0.034054775765481216;12
21;95;1200;0.03394534579423312;12
29;124;1200;0.033900761517529035;12
38;141;1200;0.03377715607525241;12
41;168;1200;0.03366915851248908;12
45;191;1200;0.033573565486556704;12
48;213;1200;0.033464362379834516;12
54;245;1200;0.03334479602378223;12
0;0;1211;0.0;13
3;20;1211;0.0;13
10;48;1211;0.03376533122633278;13
17;69;1211;0.03367814746189769;13
26;98;1211;0.03359831384245358;13
29;123;1211;0.03347915822776821;13
35;146;1211;0.033428798420630616;13
49;170;1211;0.03332112066842204;13
47;192;1211;0.0332199947083966;13
51;210;1211;0.03312286645888812;13
61;238;1211;0.03309150139869555;13
0;0;1203;0.0;14
2;25;1203;0.0;14
14;62;1203;0.03444002477240021;14
19;85;1203;0.03431961440982632;14
30;107;1203;0.034234297002911036;14
30;135;1203;0.03416282689987625;14
39;159;1203;0.03405447323994527;14
43;171;1203;0.033941201541355055;14
41;188;1203;0.033859874370654686;14
46;211;1203;0.033794075259126075;14
54;234;1203;0.03372788808479855;14
0;0;1189;0.0;15
3;19;1189;0.0;15
8;46;1189;0.03433519143534897;15
14;69;1189;0.03427531208485077;15
21;99;1189;0.03417819639706262;15
37;127;1189;0.03410572682823574;15
48;154;1189;0.03399995633415645;15
53;177;1189;0.03384456649601147;15
53;205;1189;0.03378707815865932;15
61;239;1189;0.03368696363099129;15
71;257;1189;0.033585655523355594;15
0;0;1250;0.0;16
1;24;1250;0.0;16
12;51;1250;0.033098454134318604;16
14;74;1250;0.03304697005587017;16
23;92;1250;0.03296955997210631;16
30;107;1250;0.03284753662530546;16
26;128;1250;0.03277277798391053;16
37;152;1250;0.032653443560412374;16
40;169;1250;0.03252743796454608;16
62;184;1250;0.03241518044237577;16
55;211;1250;0.03231258111105881;16
0;0;1248;0.0;17
3;27;1248;0.0;17
11;43;1248;0.034597016504075734;17
13;68;1248;0.034553769823891634;17
27;95;1248;0.034426269413780554;17
23;122;1248;0.03439649443139572;17
35;151;1248;0.03426435980921205;17
39;172;1248;0.03421035059932162;17
48;203;1248;0.034070784927530226;17
67;225;1248;0.0339828708062127;17
63;244;1248;0.03384631248195408;17
0;0;1250;0.0;18
5;22;1250;0.0;18
14;52;1250;0.0337542321479965;18
17;70;1250;0.03371244290673912;18
23;97;1250;0.033539884592422214;18
27;124;1250;0.033467971191925565;18
31;146;1250;0.033429841226697524;18
40;170;1250;0.033302537829606634;18
49;191;1250;0.033241333022920615;18
54;205;1250;0.03313638360855078;18
60;227;1250;0.0330557798288976;18
0;0;1220;0.0;19
2;23;1220;0.0;19
12;55;1220;0.0331470362296762;19
17;83;1220;0.03310602747380597;19
29;106;1220;0.03302772657522215;19
32;135;1220;0.03297233687932203;19
37;156;1220;0.032825425263314785;19
