AREAP;attacked;denounce;females;attacks_per_female;denounces_per_females
5300108005006;2.612;0.91;21.796;0.122597869509902;0.042964917030489255
5300108005007;5.258;1.926;43.19;0.12268531349061329;0.04499047662886288
5300108005008;4.382;1.492;36.122;0.12282271311523497;0.04194524706036776
5300108005009;3.974;1.392;33.388;0.12012341923327487;0.04249878956493835
5300108005010;3.578;1.222;29.912;0.12173475779994285;0.04158860913165404
5300108005011;3.416;1.2;30.614;0.11365969975326724;0.04008344025614913
5300108005012;2.178;0.77;17.426;0.1265527503904344;0.04483776433586877
5300108005013;2.558;0.908;21.922;0.11788967601809078;0.0416434762631151
5300108005014;2.998;1.028;25.006;0.12277518129854482;0.04183709938774883
5300108005015;3.596;1.312;30.812;0.1183129424772876;0.04300560226565896
5300108005016;5.116;1.758;43.112;0.1207925079886489;0.0413787922965843
5300108005017;2.162;0.738;18.594;0.12015808404552893;0.040551876887755085
5300108005018;3.042;1.122;25.25;0.122670761183577;0.045321915069772754
5300108005019;4.296;1.548;37.04;0.11852903559554234;0.04233748673568587
5300108005020;2.91;1.02;23.854;0.12437851388353888;0.04305273480187681
5300108005021;1.744;0.6;14.396;0.12304209416033306;0.043370362432819
5300108005022;2.214;0.81;18.634;0.12128320112432778;0.04474771014707412
5300108005023;2.048;0.742;17.19;0.12065242968759508;0.043479053928054484
5300108005024;2.84;0.99;22.504;0.12802355925403155;0.04457061114004961
5300108005025;2.656;0.976;21.754;0.12370250804954828;0.045597389915680665
5300108005026;2.7;0.984;21.28;0.12939913223096564;0.04739999438276418
5300108005027;1.82;0.652;15.436;0.11863990848400212;0.04281380096130665
5300108005028;3.51;1.226;28.56;0.1261034474524579;0.044291435265387966
5300108005029;3.282;1.162;25.762;0.13029767773154888;0.045883114406964895
5300108005030;3.81;1.41;31.91;0.12094712776577819;0.04515234182393897
5300108005031;2.082;0.738;17.108;0.12454078761918387;0.044062147116731745
5300108005032;2.816;0.962;23.88;0.12194670939733772;0.0410202730125991
5300108005033;3.924;1.368;32.394;0.12310543640703875;0.043354083945098494
5300108005034;1.744;0.634;16.322;0.11113918163518399;0.040647061167446166
5300108005035;3.14;1.088;26.99;0.11804322047405617;0.04110133210000748
5300108005036;2.774;0.974;22.344;0.12584336526520434;0.04436211703096
5300108005037;3.174;1.174;25.352;0.12945547112003594;0.04808373245374397
5300108005038;3.994;1.36;32.542;0.12413795966709866;0.042622248902043455
5300108005039;2.492;0.844;20.996;0.12269417395973517;0.042169781820655027
5300108005040;3.308;1.152;28.186;0.11933850632313987;0.04118807126751367
5300108005041;3.87;1.454;31.136;0.1263335441890898;0.047611449187751696
5300108005042;5.72;2.046;44.73;0.12952870212003503;0.046543283302639855
5300108005043;4.014;1.45;33.318;0.12148606812259129;0.04375629237500659
5300108005044;2.966;1.058;23.786;0.12764341025677547;0.04560871632896523
5300108005045;2.868;1.062;22.864;0.1269059832572066;0.04709668044819811
5300108005046;2.072;0.766;17.272;0.12461945415872237;0.04541336486792099
5300108005047;2.108;0.76;18.912;0.11726348667999917;0.04163939051956121
5300108005048;2.66;0.942;21.434;0.12858853901626086;0.044974932603577135
5300108005049;0.9819639278557114;0.3667334669338677;8.108216432865731;0.12730751425346515;0.05027147643114868
5300108005050;3.216;1.152;22.984;0.1419071174638851;0.05079841923115345
5300108005051;2.778;1.032;21.874;0.12995313803101474;0.048808527682542895
