Person;Victim;Aggressor;Stress
2581;774;774;0.026208072563398004
2577;776;776;0.02615891172094412
2575;777;777;0.026159888730622888
2575;777;777;0.026196632627951882
2575;777;777;0.026195362095073147
2573;778;778;0.026194373264157546
2573;778;778;0.026198082574080777
2573;778;778;0.026167956968918712
2573;778;778;0.026185986771115572
2573;778;778;0.02622150547498603
2573;778;778;0.026217376532233584
2571;779;779;0.026303461789878003
2571;779;779;0.02621753188437015
2571;779;779;0.026212635827415467
2571;779;779;0.02625894236133809
2569;780;780;0.026249254932953346
2569;780;780;0.02624589724982363
2567;781;781;0.026176270424095743
2567;781;781;0.026209185029934967
2567;781;781;0.026233133453433866
2565;782;782;0.026274545284535045
2565;782;782;0.026269724450797362
2561;784;784;0.02625973839419111
2561;784;784;0.02623531231890159
2561;784;784;0.026266493102810002
2561;784;784;0.026269433588005323
2559;785;785;0.02626742539352325
2557;786;786;0.026298627310026593
2557;786;786;0.026302962160026245
2553;788;788;0.026330986320219005
2553;788;788;0.026317548805380345
2553;788;788;0.026377994709197588
2553;788;788;0.0263719018695383
2553;788;788;0.026317013769845684
2553;788;788;0.026327263194372702
2553;788;788;0.026356139968262776
2551;789;789;0.026371679738292637
2549;790;790;0.026375858463121193
2549;790;790;0.026319820146022254
2549;790;790;0.026376758337500777
2549;790;790;0.026389101705318954
2549;790;790;0.026365666485933473
2547;791;791;0.02638649782804045
2547;791;791;0.026399227058673695
2547;791;791;0.026392360556796172
2547;791;791;0.02646078174884156
2547;791;791;0.026381375056738814
2547;791;791;0.026406562943110567
2545;792;792;0.02640014300059863
2545;792;792;0.02644019343491539
2545;792;792;0.026444792410829396
2545;792;792;0.02643615842515992
2545;792;792;0.026459694010106144
2545;792;792;0.02643616970513683
2545;792;792;0.026447515884579654
2545;792;792;0.026472251060760326
2545;792;792;0.026479186162119157
2543;793;793;0.02649477476034107
2543;793;793;0.02647340633023626
2543;793;793;0.0264603647360799
2541;794;794;0.02648115742464936
2541;794;794;0.026527796148930107
2541;794;794;0.02654706690700538
2541;794;794;0.026535240237708233
2541;794;794;0.02653922444585293
2541;794;794;0.02650954700696779
2541;794;794;0.02657202754214321
2541;794;794;0.02654858633925463
