dissuasion;quarantine;Run;Denounce;Females;Got attacked;Stress
False;False;77;0;1234;224;0.029909714695589815
False;False;78;0;1170;201;0.030615132700371243
False;False;79;0;1234;218;0.029794651734289003
False;False;80;0;1250;214;0.031199062097027257
False;False;81;0;1231;239;0.031569507672255755
False;False;82;0;1270;221;0.030679002811637185
False;False;83;0;1217;242;0.030556117437211712
False;False;84;0;1191;228;0.029959689233720527
False;False;85;0;1188;215;0.03111120708204208
False;False;86;0;1236;239;0.030130974198764166
False;False;87;0;1156;199;0.03018498375260502
False;False;88;0;1205;210;0.030882091615052096
False;False;89;0;1230;226;0.030039950506607
False;False;90;0;1194;209;0.030288105191235183
False;False;91;0;1193;225;0.031167795305381593
False;False;92;0;1248;227;0.030430906527777465
False;False;93;0;1218;206;0.03011198617200022
False;False;94;0;1223;241;0.031128779604761965
False;False;95;0;1257;205;0.030616699742118874
False;False;96;0;1189;214;0.031054314848160326
False;False;97;0;1251;218;0.030707266768581123
False;False;98;0;1196;232;0.03099117589189449
False;False;99;0;1210;258;0.030759153742736325
False;False;100;0;1224;213;0.030711107446464207
False;False;101;0;1209;242;0.030843444926908062
False;False;102;0;1169;239;0.031041509617762017
False;False;103;0;1183;244;0.03140275495617376
False;False;104;0;1199;216;0.030666365099850785
False;False;105;0;1204;239;0.03166748289832164
False;False;106;0;1258;234;0.030398007920207696
False;False;107;0;1211;218;0.03063557144549512
False;False;108;0;1229;201;0.03089345113857757
False;False;109;0;1201;233;0.03108688332658854
False;False;110;0;1200;200;0.030773142111226094
False;False;111;0;1236;195;0.03053547520863738
False;False;112;0;1216;241;0.029965249227120083
False;False;113;0;1225;217;0.030637147930819193
False;False;114;0;1192;210;0.03059745028870734
False;False;115;0;1245;231;0.03033757702079475
False;False;116;0;1213;223;0.030611547168202188
False;False;117;0;1186;244;0.030619462759726553
False;False;118;0;1201;193;0.030168976120504322
False;False;119;0;1141;199;0.030964142659572612
False;False;120;0;1216;195;0.03081482526853871
False;False;121;0;1185;256;0.030079329210583542
False;False;122;0;1164;229;0.03069503457110003
False;False;123;0;1266;205;0.030735444322835224
False;False;124;0;1199;215;0.030316704101046504
False;False;125;0;1206;202;0.029428970177471266
False;False;126;0;1226;249;0.031256397300466345
False;False;127;0;1208;211;0.030173316934745058
False;False;128;0;1228;216;0.03033499147857683
False;False;129;0;1250;216;0.030450784152955775
False;False;130;0;1199;224;0.030871184548241858
False;False;131;0;1236;220;0.030841776239332586
False;False;132;0;1247;208;0.031432707181225795
False;False;133;0;1247;239;0.030368023364049385
False;False;134;0;1238;223;0.03011690719385941
False;False;135;0;1219;239;0.03201488222873245
False;False;136;0;1252;221;0.03149040988706474
False;False;137;0;1168;215;0.03183173826471509
False;False;138;0;1246;219;0.030213694256267246
False;False;139;0;1188;222;0.0313839244881333
False;False;140;0;1217;227;0.03032261211336475
False;False;141;0;1203;231;0.030864510777323072
False;False;142;0;1214;184;0.030770038951814023
False;False;143;0;1215;226;0.02968794835150701
False;False;144;0;1235;228;0.03115408539871034
False;False;145;0;1183;217;0.030915049238118376
False;False;146;0;1244;200;0.030365517979986434
False;False;147;0;1221;209;0.030260272799568284
False;False;148;0;1230;228;0.030862861485330108
False;False;149;0;1205;209;0.03075741005888541
False;False;150;0;1215;224;0.031354066214980304
False;False;151;0;1182;203;0.03132729427894389
False;False;152;0;1224;219;0.03071566072948618
False;False;153;0;1230;234;0.030976330859962504
False;False;154;0;1217;192;0.03030465024214924
False;False;155;0;1228;224;0.03112624563017816
False;False;156;0;1269;225;0.030038975091598714
False;False;157;0;1187;218;0.03105937136522941
False;False;158;0;1258;238;0.0301548762365719
False;False;159;0;1237;224;0.0304306513204139
False;False;160;0;1262;227;0.030024406929946845
False;False;161;0;1253;216;0.03019646999836691
False;False;162;0;1228;185;0.030745287890791832
False;False;163;0;1204;218;0.030525817908243606
False;False;164;0;1201;231;0.031219045910027693
False;False;165;0;1213;224;0.03111509728589067
False;False;166;0;1195;211;0.0315000061948237
False;False;167;0;1211;215;0.03033262612020754
False;False;168;0;1243;209;0.029768508409241102
False;False;169;0;1253;225;0.03044138951904281
False;False;170;0;1216;228;0.030148372449435044
False;False;171;0;1230;221;0.031000341431782246
False;False;172;0;1234;247;0.03088385268733791
False;False;173;0;1221;229;0.029814163884060708
False;False;174;0;1225;208;0.029957574671361887
False;False;175;0;1201;207;0.03081912044899647
False;False;176;0;1200;239;0.030870947161333734
False;False;177;0;1175;209;0.03125236081249931
False;False;178;0;1212;209;0.030320946074953368
False;False;179;0;1168;211;0.029601070243755336
False;False;180;0;1259;231;0.030755788627852484
False;False;181;0;1249;230;0.03135156964920946
False;False;182;0;1222;215;0.03098321929479226
False;False;183;0;1214;232;0.03137295699287231
False;False;184;0;1236;231;0.03049874566396111
False;False;185;0;1223;218;0.030786172105022377
False;False;186;0;1217;234;0.03100630994592047
False;False;187;0;1225;227;0.03155288437984613
False;False;188;0;1251;224;0.03023673721470411
False;False;189;0;1198;243;0.030788545463365933
False;False;190;0;1209;194;0.03150723010891995
False;False;191;0;1243;187;0.032101360721699376
False;False;192;0;1232;197;0.030455463764446116
False;False;193;0;1222;212;0.030454209218318883
