under_influence;Run;Denounce;Females;Got attacked;Stress
0.01;80;59;1166;186;0.029764832039631095
0.01;81;78;1216;220;0.029969724358388506
0.01;82;84;1212;200;0.02953767575903507
0.01;83;76;1244;220;0.029474390675650358
0.01;84;73;1235;207;0.030574096917966174
0.01;85;84;1215;223;0.02866264954036367
0.01;86;76;1214;217;0.03035869372066108
0.01;87;81;1169;243;0.030632137375686385
0.01;88;77;1216;195;0.029869353011802574
0.01;89;80;1221;212;0.029558885781652743
0.01;90;76;1205;219;0.0296415757422808
0.01;91;70;1187;190;0.029492939889360626
0.01;92;82;1235;217;0.029620974130454197
0.01;93;66;1240;201;0.02870284334552497
0.01;94;73;1191;213;0.029384314364205785
0.01;95;67;1248;210;0.02912306638424755
0.01;96;83;1272;204;0.030072123159099334
0.01;97;67;1243;220;0.029867873113894584
0.01;98;70;1185;231;0.030526170201883897
0.01;99;75;1231;213;0.02997268797852798
0.01;100;56;1196;192;0.029502936871994012
0.01;101;62;1202;182;0.0298705554436264
0.01;102;67;1242;205;0.029397758661631107
0.01;103;68;1202;175;0.030568533997062098
0.01;104;77;1192;202;0.029826176193459706
0.01;105;77;1238;221;0.031168455037849988
0.01;106;70;1241;207;0.030621464770593687
0.01;107;82;1219;215;0.0297328618992564
0.01;108;76;1229;227;0.029479110920220545
0.01;109;76;1187;208;0.02957070902172223
0.01;110;74;1282;224;0.029637371172437515
0.01;111;72;1279;210;0.030865516964746206
0.01;112;74;1172;197;0.029014529540677955
0.01;113;79;1247;189;0.02842058662427444
0.01;114;58;1191;199;0.030694753992762586
0.01;115;62;1159;168;0.030212110695591494
0.01;116;78;1230;212;0.030096005582297258
0.01;117;65;1240;199;0.029344200938086783
0.01;118;80;1210;219;0.028720166685730027
0.01;119;68;1283;213;0.029305984968959652
0.01;120;76;1201;223;0.03028573091904376
0.01;121;79;1291;202;0.029630053697370318
0.01;122;71;1231;208;0.02946802698344809
0.01;123;78;1210;240;0.030423950371536834
0.01;124;70;1261;191;0.029387415424082703
0.01;125;72;1187;201;0.02977614845443857
0.01;126;77;1159;213;0.029367562012104217
0.01;127;74;1232;205;0.029679223327097673
0.01;128;73;1238;223;0.030452668907045753
