gender_stress;Run;Denounce;Females;Got attacked;Stress
0.1;87;61;1210;193;0.029414382289244458
0.1;88;79;1259;219;0.030303211947705973
0.1;89;73;1223;201;0.029939266990466996
0.1;90;77;1211;220;0.02940451027021522
0.1;91;83;1174;231;0.03010517554089715
0.1;92;69;1134;195;0.029446822192897414
0.1;93;60;1230;202;0.028586270543487016
0.1;94;73;1209;209;0.02951177843927838
0.1;95;84;1189;244;0.029502256619921716
0.1;96;75;1199;211;0.029129209165163508
0.1;97;57;1237;173;0.03002662591534498
0.1;98;73;1229;186;0.03061989167421499
0.1;99;75;1222;211;0.03073916399090362
0.1;100;59;1220;179;0.02919844616507263
0.1;101;75;1189;211;0.029663023453629332
0.1;102;68;1186;222;0.030533556992692265
0.1;103;75;1238;187;0.02933981848923384
0.1;104;69;1227;213;0.02985999313892313
0.1;105;72;1212;200;0.029566943308441465
0.1;106;74;1225;211;0.029709665832466023
0.1;107;75;1203;209;0.030071073780901368
0.1;108;66;1248;202;0.029079694695743286
0.1;109;78;1211;207;0.029657675925711113
0.1;110;92;1178;220;0.03002205338520102
0.1;111;81;1204;219;0.030240034176112558
0.1;112;78;1198;192;0.028839311062100505
0.1;113;57;1226;176;0.029374433184444104
0.1;114;62;1228;196;0.030336164047328654
0.1;115;80;1249;215;0.028623268519579175
0.1;116;71;1214;209;0.030171557560949427
0.1;117;74;1247;227;0.030012261188916155
0.1;118;68;1199;224;0.02998645898751322
0.1;119;72;1208;209;0.028288036282620478
0.1;120;76;1204;195;0.030415416001544335
0.1;121;77;1278;211;0.030094348928417114
0.1;122;82;1224;227;0.0302100278581346
0.1;123;76;1215;219;0.029159199410012476
0.1;124;71;1227;199;0.029744010663948765
0.1;125;58;1188;156;0.029616086342814662
0.1;126;56;1200;177;0.029947927185117757
0.1;127;72;1203;207;0.02951142898544427
0.1;128;81;1217;204;0.02814017581027474
0.1;129;63;1180;197;0.03094697481246587
0.1;130;84;1219;217;0.02944140201333471
0.1;131;88;1222;226;0.03041901863939636
0.1;132;77;1160;180;0.029595738904124952
0.1;133;73;1239;204;0.030172323183624505
0.1;134;72;1211;196;0.028648614501561104
0.1;135;73;1191;197;0.03002748620059272
0.1;136;76;1212;208;0.029604792972479328
0.1;137;83;1263;225;0.030565769260387336
0.1;138;82;1223;207;0.03070894402414932
0.1;139;92;1218;232;0.029752455257826233
0.1;140;71;1203;194;0.029538436479769357
0.1;141;75;1210;210;0.0287917912923203
0.1;142;85;1212;209;0.03026181046673922
0.1;143;79;1211;218;0.029317891250281582
0.1;144;75;1190;203;0.030925974847677996
0.1;145;77;1206;207;0.030342475384114335
0.1;146;77;1256;210;0.03000592236425421
0.1;147;64;1194;186;0.02921491706702174
0.1;148;75;1287;239;0.03022777596968209
0.1;149;65;1225;195;0.030320685858553752
0.1;150;77;1278;230;0.029491686564741878
0.1;151;70;1190;204;0.03021729209433568
0.1;152;77;1237;215;0.03005908554382748
